title|gross|opening|theaters|year|genres|imdbid|imdbrating|imdburl|metascore|movieid|mpaarating|nvotes
Monsieur Ibrahim|$2,823,890|$53,174|92|2003|Comedy,Drama|0329388|7.5|http://akas.imdb.com/title/tt0329388/|69|0329388|R|9351
My Architect|$2,750,707|$37,929|39|2003|Documentary,Biography|0373175|7.4|http://akas.imdb.com/title/tt0373175/|81|0373175|NA|2699
Pieces of April|$2,528,664|$48,422|101|2003|Comedy,Drama|0311648|7.1|http://akas.imdb.com/title/tt0311648/|70|0311648|PG-13|17943
The Company|$2,283,914|$93,776|55|2003|Drama,Music,Romance|0335013|6.4|http://akas.imdb.com/title/tt0335013/|73|0335013|PG-13|5553
DysFunKtional Family|$2,255,000|$1,079,797|602|2003|Comedy,Documentary|0337996|6.6|http://akas.imdb.com/title/tt0337996/|51|0337996|R|759
Shattered Glass|$2,220,008|$77,540|215|2003|Drama,History|0323944|7.2|http://akas.imdb.com/title/tt0323944/|73|0323944|PG-13|28702
Sur le Seuil|$2,014,071|$514,762|61|2003|Drama,Horror,Thriller,Action|0380732|6.6|http://akas.imdb.com/title/tt0380732/|NA|0380732|NA|992
Nez Rouge|$2,004,814|$217,000|90|2003|Comedy,Romance|0380585|6.3|http://akas.imdb.com/title/tt0380585/|NA|0380585|NA|455
Kal Ho Naa Ho|$1,991,922|$758,211|52|2003|Comedy,Drama,Romance|0347304|8.1|http://akas.imdb.com/title/tt0347304/|54|0347304|NA|42520
The Legend of Johnny Lingo|$1,690,767|$109,868|63|2003|Action,Adventure,Family|0367960|6.3|http://akas.imdb.com/title/tt0367960/|NA|0367960|NA|583
Book of Mormon Movie|$1,680,020|$114,573|38|2003|Adventure|0349159|3.3|http://akas.imdb.com/title/tt0349159/|NA|0349159|PG-13|396
Marci X|$1,648,818|$872,950|1,200|2003|Comedy,Music|0266747|2.7|http://akas.imdb.com/title/tt0266747/|20|0266747|R|4503
Camp|$1,629,862|$54,294|116|2003|Comedy,Musical,Drama|0342167|6.4|http://akas.imdb.com/title/tt0342167/|55|0342167|PG-13|4998
Veronica Guerin|$1,571,504|$611,276|472|2003|Biography,Crime,Drama,Thriller|0312549|6.9|http://akas.imdb.com/title/tt0312549/|55|0312549|R|16096
Northfork|$1,420,578|$61,481|71|2003|Drama,Fantasy|0322659|6.4|http://akas.imdb.com/title/tt0322659/|64|0322659|PG-13|4879
Shrek 2|$441,226,247|$108,037,878|4,223|2004|Animation,Adventure,Comedy,Family,Fantasy|0298148|7.2|http://akas.imdb.com/title/tt0298148/|75|0298148|PG|309292
Spider-Man 2|$373,585,825|$88,156,227|4,166|2004|Action,Adventure,Fantasy|0316654|7.3|http://akas.imdb.com/title/tt0316654/|83|0316654|PG-13|403983
The Passion of the Christ|$370,274,604|$83,848,082|3,408|2004|Drama|0335345|7.1|http://akas.imdb.com/title/tt0335345/|47|0335345|R|178019
Meet the Fockers|$279,261,160|$46,120,980|3,554|2004|Comedy,Romance|0290002|6.3|http://akas.imdb.com/title/tt0290002/|41|0290002|PG-13|209206
The Incredibles|$261,441,092|$70,467,623|3,933|2004|Animation,Action,Adventure,Family|0317705|8.0|http://akas.imdb.com/title/tt0317705/|90|0317705|PG|470375
Harry Potter and the Prisoner of Azkaban|$249,541,069|$93,687,367|3,855|2004|Adventure,Family,Fantasy,Mystery|0304141|7.8|http://akas.imdb.com/title/tt0304141/|82|0304141|PG|375755
The Day After Tomorrow|$186,740,799|$68,743,584|3,444|2004|Action,Adventure,Sci-Fi,Thriller|0319262|6.4|http://akas.imdb.com/title/tt0319262/|47|0319262|PG-13|328312
The Bourne Supremacy|$176,241,941|$52,521,865|3,304|2004|Action,Thriller|0372183|7.8|http://akas.imdb.com/title/tt0372183/|73|0372183|PG-13|338630
National Treasure|$173,008,894|$35,142,554|3,243|2004|Action,Adventure,Comedy,Mystery|0368891|6.9|http://akas.imdb.com/title/tt0368891/|39|0368891|PG|253404
The Polar Express|$162,775,358|$23,323,463|3,650|2004|Animation,Adventure,Family,Fantasy|0338348|6.6|http://akas.imdb.com/title/tt0338348/|61|0338348|NA|119508
Shark Tale|$160,861,908|$47,604,606|4,070|2004|Animation,Adventure,Comedy,Family|0307453|6.0|http://akas.imdb.com/title/tt0307453/|48|0307453|PG|130558
I, Robot|$144,801,023|$52,179,887|3,494|2004|Action,Mystery,Sci-Fi,Thriller|0343818|7.1|http://akas.imdb.com/title/tt0343818/|59|0343818|PG-13|381330
Troy|$133,378,256|$46,865,412|3,411|2004|Adventure|0332452|7.2|http://akas.imdb.com/title/tt0332452/|56|0332452|R|376757
Ocean's Twelve|$125,544,280|$39,153,380|3,290|2004|Crime,Thriller|0349903|6.4|http://akas.imdb.com/title/tt0349903/|58|0349903|PG-13|281341
50 First Dates|$120,908,074|$39,852,237|3,612|2004|Comedy,Romance|0343660|6.8|http://akas.imdb.com/title/tt0343660/|48|0343660|PG-13|262914
Van Helsing|$120,177,084|$51,748,040|3,580|2004|Action,Adventure,Fantasy,Mystery,Thriller|0338526|6.0|http://akas.imdb.com/title/tt0338526/|35|0338526|PG-13|193374
Fahrenheit 9/11|$119,194,771|$23,920,637|2,011|2004|Documentary,Comedy,Drama,War|0361596|7.5|http://akas.imdb.com/title/tt0361596/|67|0361596|R|112251
Lemony Snicket's A Series of Unfortunate Events|$118,634,549|$30,061,756|3,623|2004|Adventure,Comedy,Family,Fantasy|0339291|6.8|http://akas.imdb.com/title/tt0339291/|62|0339291|PG|155022
DodgeBall: A True Underdog Story|$114,326,736|$30,070,196|3,020|2004|Comedy,Sport|0364725|6.7|http://akas.imdb.com/title/tt0364725/|55|0364725|PG-13|182893
The Village|$114,197,520|$50,746,142|3,733|2004|Drama,Mystery,Romance,Thriller|0368447|6.5|http://akas.imdb.com/title/tt0368447/|44|0368447|PG-13|191966
The Grudge|$110,359,362|$39,128,715|3,348|2004|Fantasy,Horror,Mystery,Thriller|0391198|5.9|http://akas.imdb.com/title/tt0391198/|49|0391198|PG-13|113549
The Aviator|$102,610,330|$858,021|2,530|2004|Biography,Drama|0338751|7.5|http://akas.imdb.com/title/tt0338751/|77|0338751|PG-13|261025
Collateral|$101,005,703|$24,701,458|3,205|2004|Crime,Drama,Thriller|0369339|7.6|http://akas.imdb.com/title/tt0369339/|71|0369339|R|290951
Million Dollar Baby|$100,492,203|$179,953|2,375|2004|Drama,Sport|0405159|8.1|http://akas.imdb.com/title/tt0405159/|86|0405159|PG-13|474976
The Princess Diaries 2: Royal Engagement|$95,170,481|$22,956,453|3,490|2004|Comedy,Family,Romance|0368933|5.7|http://akas.imdb.com/title/tt0368933/|43|0368933|NA|52326
Starsky and Hutch|$88,237,754|$28,103,367|3,185|2004|Comedy,Crime|0335438|6.1|http://akas.imdb.com/title/tt0335438/|55|0335438|PG-13|119862
Along Came Polly|$88,097,164|$27,721,185|3,052|2004|Comedy,Romance|0343135|5.9|http://akas.imdb.com/title/tt0343135/|44|0343135|PG-13|105967
Mean Girls|$86,058,055|$24,432,195|3,054|2004|Comedy|0377092|7.0|http://akas.imdb.com/title/tt0377092/|66|0377092|PG-13|241435
The SpongeBob SquarePants Movie|$85,417,988|$32,018,216|3,307|2004|Animation,Adventure,Comedy,Family,Fantasy|0345950|7.0|http://akas.imdb.com/title/tt0345950/|66|0345950|PG|57925
Anchorman: The Legend of Ron Burgundy|$85,288,303|$28,416,365|3,104|2004|Comedy|0357413|7.2|http://akas.imdb.com/title/tt0357413/|63|0357413|PG-13|264774
Scooby-Doo 2: Monsters Unleashed|$84,216,833|$29,438,331|3,312|2004|Adventure,Comedy,Family,Fantasy,Horror,Mystery|0331632|4.9|http://akas.imdb.com/title/tt0331632/|34|0331632|PG|32559
The Notebook|$81,001,787|$13,464,745|2,323|2004|Drama,Romance|0332280|7.9|http://akas.imdb.com/title/tt0332280/|53|0332280|PG-13|390302
Alien Vs. Predator|$80,282,231|$38,291,056|3,401|2004|Action,Adventure,Sci-Fi,Thriller|0370263|5.6|http://akas.imdb.com/title/tt0370263/|29|0370263|PG-13|141853
Man on Fire|$77,911,774|$22,751,490|2,986|2004|Action,Crime,Drama,Thriller|0328107|7.7|http://akas.imdb.com/title/tt0328107/|47|0328107|R|263413
The Terminal|$77,872,883|$19,053,199|2,914|2004|Comedy,Drama|0362227|7.3|http://akas.imdb.com/title/tt0362227/|55|0362227|PG-13|299489
Garfield: The Movie|$75,369,589|$21,727,611|3,150|2004|Animation,Comedy,Family,Fantasy|0356634|5.0|http://akas.imdb.com/title/tt0356634/|27|0356634|PG|57904
Ray|$75,331,600|$20,039,730|2,474|2004|Biography,Drama,Music|0350258|7.7|http://akas.imdb.com/title/tt0350258/|73|0350258|PG-13|109063
Ladder 49|$74,541,707|$22,088,204|3,261|2004|Action,Drama,Thriller|0349710|6.5|http://akas.imdb.com/title/tt0349710/|47|0349710|PG-13|48411
Christmas with the Kranks|$73,780,539|$21,570,867|3,416|2004|Comedy,Family|0388419|5.2|http://akas.imdb.com/title/tt0388419/|22|0388419|PG|27319
Sideways|$71,503,593|$207,042|1,786|2004|Adventure,Comedy,Drama,Romance|0375063|7.5|http://akas.imdb.com/title/tt0375063/|94|0375063|R|148523
White Chicks|$70,831,760|$19,676,748|2,800|2004|Comedy,Crime|0381707|5.4|http://akas.imdb.com/title/tt0381707/|41|0381707|PG-13|97323
Hidalgo|$67,303,450|$18,829,435|3,065|2004|Action,Adventure,Western|0317648|6.7|http://akas.imdb.com/title/tt0317648/|54|0317648|PG-13|67360
The Forgotten|$67,133,509|$21,022,111|3,144|2004|Drama,Horror,Mystery,Sci-Fi,Thriller|0356618|5.8|http://akas.imdb.com/title/tt0356618/|43|0356618|PG-13|57178
Kill Bill Vol. 2|$66,208,183|$25,104,949|3,073|2004|Action,Crime,Thriller|0378194|8.0|http://akas.imdb.com/title/tt0378194/|83|0378194|R|505578
The Manchurian Candidate|$65,955,630|$20,018,620|2,867|2004|Drama,Mystery,Sci-Fi,Thriller|0368008|6.6|http://akas.imdb.com/title/tt0368008/|76|0368008|R|85728
Barbershop 2: Back in Business|$65,111,277|$24,241,612|2,711|2004|Comedy,Drama|0337579|5.7|http://akas.imdb.com/title/tt0337579/|59|0337579|PG-13|9655
Miracle|$64,378,093|$19,377,577|2,755|2004|Biography,Drama,History,Sport|0349825|7.5|http://akas.imdb.com/title/tt0349825/|68|0349825|PG|36208
Friday Night Lights|$61,255,921|$20,269,025|3,004|2004|Action,Drama,Sport|0390022|7.3|http://akas.imdb.com/title/tt0390022/|70|0390022|PG-13|46447
Hellboy|$59,623,958|$23,172,440|3,043|2004|Action,Fantasy,Horror,Sci-Fi|0167190|6.8|http://akas.imdb.com/title/tt0167190/|72|0167190|PG-13|241867
The Stepford Wives|$59,484,742|$21,406,781|3,057|2004|Comedy,Sci-Fi,Thriller|0327162|5.2|http://akas.imdb.com/title/tt0327162/|42|0327162|PG-13|49329
Dawn of the Dead|$59,020,957|$26,722,575|2,748|2004|Action,Horror,Thriller|0363547|7.4|http://akas.imdb.com/title/tt0363547/|59|0363547|R|192135
Without a Paddle|$58,169,327|$13,528,946|2,756|2004|Adventure,Comedy,Mystery|0364751|5.9|http://akas.imdb.com/title/tt0364751/|29|0364751|PG-13|37148
The Butterfly Effect|$57,938,693|$17,065,227|2,605|2004|Sci-Fi,Thriller|0289879|7.7|http://akas.imdb.com/title/tt0289879/|30|0289879|R|352205
Shall We Dance|$57,890,460|$11,783,467|2,542|2004|Comedy,Drama,Romance|0358135|6.1|http://akas.imdb.com/title/tt0358135/|47|0358135|PG-13|35151
The Chronicles of Riddick|$57,761,012|$24,289,165|2,757|2004|Action,Adventure,Sci-Fi,Thriller|0296572|6.7|http://akas.imdb.com/title/tt0296572/|38|0296572|PG-13|182119
13 Going on 30|$57,231,747|$21,054,283|3,453|2004|Comedy,Family,Fantasy,Romance|0337563|6.1|http://akas.imdb.com/title/tt0337563/|57|0337563|PG-13|120569
Saw|$55,185,045|$18,276,468|2,467|2004|Drama,Horror,Mystery|0387564|7.7|http://akas.imdb.com/title/tt0387564/|46|0387564|R|294510
Blade: Trinity|$52,411,906|$16,061,271|2,912|2004|Action,Adventure,Fantasy,Horror,Sci-Fi,Thriller|0359013|5.9|http://akas.imdb.com/title/tt0359013/|38|0359013|R|131243
King Arthur|$51,882,244|$15,193,907|3,086|2004|Action,Adventure,Drama,History,War|0349683|6.3|http://akas.imdb.com/title/tt0349683/|46|0349683|PG-13|135060
Finding Neverland|$51,680,613|$220,524|1,411|2004|Biography,Drama,Family|0308644|7.8|http://akas.imdb.com/title/tt0308644/|67|0308644|PG|173416
A Cinderella Story|$51,438,175|$13,623,350|2,625|2004|Comedy,Family,Romance|0356470|5.9|http://akas.imdb.com/title/tt0356470/|25|0356470|PG|61597
The Phantom of the Opera|$51,268,815|$4,001,890|1,515|2004|Drama,Musical,Romance,Thriller|0293508|7.4|http://akas.imdb.com/title/tt0293508/|40|0293508|PG-13|95636
Resident Evil: Apocalypse|$51,201,453|$23,036,273|3,284|2004|Action,Horror,Sci-Fi,Thriller|0318627|6.2|http://akas.imdb.com/title/tt0318627/|35|0318627|R|149757
