amazon|amazon_link|hulu|hulu_link|imdbid|netflix|netflix_link
0||0||0348150|0|
0||0||0366548|0|
0||0||0438097|0|
0||0||0381061|0|
0||0||0454921|0|
0||0||0327084|0|
0||0||0415306|0|
0||0||0389860|0|
0||0||0317919|1|https://www.netflix.com/title/70041961
0||0||0407887|0|
0||0||0443453|0|
0||0||0458352|0|
0||0||0443489|0|
0||0||0362120|0|
0||0||0427229|0|
0||0||0454848|0|
0||0||0400717|0|
0||0||0413895|0|
0||0||0397313|0|
0||0||0457510|0|
0||0||0385880|0|
0||0||0493430|1|https://www.netflix.com/title/70044900
0||0||0414853|0|
0||0||0449089|0|
0||0||0469641|0|
0||0||0479143|0|
0||0||0424095|0|
0||0||0453467|0|
0||0||0430357|0|
0||0||0455612|0|
0||0||0457939|0|
0||0||0463985|1|https://www.netflix.com/title/70044885
0||0||0401855|0|
0||0||0409182|0|
0||0||0343737|0|
0||0||0449059|0|
0||0||0381971|0|
0||0||0450259|0|
0||0||0436697|0|
0||0||0406816|0|
0||0||0466909|0|
0||0||0414982|0|
0||0||0482571|0|
0||0||0472043|0|
0||0||0408345|0|
0||0||0758794|0|
0||0||0454841|0|
0||0||0420223|0|
0||0||0421206|0|
0||0||0408985|0|
0||0||0457430|0|
0||0||0450232|0|
0||0||0384793|0|
0||0||0443632|0|
0||0||0206634|0|
0||0||0446046|0|
0||0||0449467|0|
0||0||0417148|0|
0||0||0418689|0|
0||0||0475276|0|
0||0||0429589|0|
0||0||0479884|0|
0||0||0413300|0|
0||0||0413267|0|
0||0||0449088|0|
0||0||0373889|0|
1|https://www.amazon.com/I-Am-Legend-Will-Smith/dp/B0017XD3OY|0||0480249|0|
0||0||0440963|0|
0||0||0465234|0|
0||0||0952640|0|
0||0||0382932|0|
1|https://www.amazon.com/Live-Free-Hard-Bruce-Willis/dp/B0040HERTY|0||0337978|0|
0||0||0486576|0|
0||0||0765429|0|
0||0||0461770|0|
0||0||0389790|0|
0||0||0829482|0|
0||0||0427327|0|
0||0||0496806|0|
0||0||0396555|0|
0||0||0477051|0|
0||0||0825232|0|
0||0||0442933|0|
0||0||0398808|0|
0||0||0486822|0|
0||0||0477348|1|https://www.netflix.com/title/70071613
0||0||0450385|0|
0||0||0385752|0|
0||0||0472062|0|
0||0||0775539|0|
0||0||0423294|0|
0||0||0373883|0|
0||0||0453556|0|
0||0||0381849|0|
0||0||0408236|0|
0||0||0783233|0|
0||0||0432021|0|
0||0||0758766|0|
0||0||0937375|0|
0||0||0465538|0|
0||0||0477071|0|
0||0||0480242|0|
0||0||0431197|0|
0||0||0467110|0|
0||0||0469494|1|https://www.netflix.com/title/70075473
1|https://www.amazon.com/30-Days-Night-Josh-Hartnett/dp/B0011FQQFG|0||0389722|0|
0||0||0486655|0|
0||0||0476964|0|
0||0||0463998|0|
0||0||0453451|0|
0||0||0401997|0|
0||0||0443706|0|
0||0||0457419|0|
0||0||0463854|0|
0||0||0498399|0|
0||0||0780571|0|
0||0||0367959|0|
0||0||0479500|0|
0||0||0462322|0|
0||0||0386032|0|
0||0||0445922|0|
0||0||1027743|0|
0||0||0371746|0|
0||0||0367882|0|
0||0||0448157|0|
0||0||0910970|0|
1|https://www.amazon.com/Kung-Fu-Panda-Jack-Black/dp/B0051XQI84|0||0441773|0|
0||0||0479952|0|
0||0||0830515|0|
0||0||0451079|0|
0||0||1000774|0|
0||0||1205489|0|
0||0||0795421|0|
0||0||0822832|0|
0||0||0499448|0|
0||0||1010048|0|
0||0||0800080|0|
0||0||0493464|0|
0||0||0425061|0|
0||0||0421715|0|
0||0||0397892|0|
0||0||0942385|0|
0||0||0838283|0|
0||0||0960144|0|
0||0||1068680|0|
0||0||1014775|0|
0||0||0962726|0|
0||0||0985699|0|
0||0||0478087|0|
0||0||1033643|0|
0||0||0489099|0|
0||1|http://www.hulu.com/watch/966489|1060277|0|
0||0||0988595|0|
0||0||0411477|0|
0||0||0443274|0|
0||0||0416236|0|
0||0||0430922|0|
0||0||1127884|0|
0||0||0800039|0|
0||0||0871426|0|
0||0||0887883|0|
0||0||0865556|0|
0||0||0420238|0|
0||0||0455824|0|
0||0||0410377|0|
0||0||0811080|0|
0||0||0462499|0|
0||0||1047494|0|
0||0||0956038|0|
0||0||0758774|0|
0||0||0947802|0|
0||0||0481536|0|
0||0||1142798|0|
0||0||0452608|0|
0||0||0824747|0|
0||0||0976051|0|
0||0||0839980|0|
0||0||1129423|0|
0||0||0918927|0|
0||0||0832266|0|
0||0||1013753|0|
0||0||1129442|0|
0||0||1082868|0|
0||0||0981227|0|
0||0||1007028|0|
0||0||0379865|0|
0||0||0790686|0|
0||0||0482603|0|
0||0||0200465|0|
0||0||0880578|0|
0||0||1034303|0|
0||0||0499549|0|
0||0||0417741|0|
0||0||1259571|0|
0||0||1049413|0|
0||0||1119646|0|
0||0||0796366|0|
0||0||0878804|0|
0||0||1231580|0|
0||0||0988045|0|
0||0||0892782|0|
0||0||1080016|0|
0||0||0458525|0|
0||0||1078912|0|
0||0||1190080|0|
0||0||1041829|0|
0||0||1114740|0|
0||0||1067106|0|
0||0||0844471|0|
0||0||0361748|0|
0||0||1136608|0|
0||0||1230414|0|
0||0||0409459|0|
