awards|imdbid|oscars
1 nomination.|0279889|none
7 nominations.|0269341|none
3 nominations.|0206314|none
1 win.|0242998|none
1 nomination.|0234829|none
1 win & 6 nominations.|0237572|none
N/A|0239948|none
1 win & 3 nominations.|0272020|none
3 nominations.|0221218|none
1 win & 1 nomination.|0273799|none
1 nomination.|0202470|none
5 nominations.|0250224|none
2 nominations.|0218922|none
1 win & 1 nomination.|0184791|none
12 nominations.|0233142|none
Nominated for 1 Golden Globe. Another 2 wins & 8 nominations.|0264796|none
1 win.|0280105|none
5 nominations.|0236348|none
12 wins & 5 nominations.|0240515|none
N/A|0253798|none
1 nomination.|0236784|none
N/A|0278475|none
1 win & 7 nominations.|0181739|none
2 nominations.|0246989|none
7 nominations.|0244000|none
N/A|0186589|none
1 nomination.|0192071|none
Nominated for 2 Golden Globes. Another 2 wins & 10 nominations.|0120824|none
2 wins & 3 nominations.|0218817|none
N/A|0192111|none
N/A|0290332|none
Nominated for 1 Golden Globe. Another 4 wins & 18 nominations.|0250323|none
1 nomination.|0228333|none
1 win & 1 nomination.|0256524|none
Nominated for 1 Oscar. Another 24 wins & 41 nominations.|0243133|nom
1 nomination.|0166110|none
N/A|0245120|none
Nominated for 1 Oscar. Another 46 wins & 54 nominations.|0166924|nom
1 win & 5 nominations.|0141907|none
1 win.|0243493|none
N/A|0203755|none
Nominated for 1 Oscar. Another 28 wins & 56 nominations.|0162346|nom
1 nomination.|0263728|none
Won 1 Oscar. Another 13 wins & 30 nominations.|0280778|won
1 nomination.|0239949|none
3 nominations.|0166276|none
1 nomination.|0227005|none
1 nomination.|0258470|none
N/A|0189192|none
1 win.|0250371|none
36 wins & 22 nominations.|0259393|none
2 wins & 7 nominations.|0255653|none
4 nominations.|0279286|none
3 wins & 10 nominations.|0118589|none
2 wins & 5 nominations.|0254099|none
N/A|0255055|none
2 wins & 3 nominations.|0186895|none
N/A|0258038|none
N/A|0218619|none
Nominated for 1 Golden Globe. Another 28 wins & 32 nominations.|0248845|none
22 wins & 43 nominations.|0248126|none
5 wins & 20 nominations.|0243017|none
N/A|0309514|none
N/A|0239986|none
N/A|0189541|none
N/A|0180679|none
N/A|0234354|none
N/A|0257953|none
N/A|0262462|none
3 wins & 6 nominations.|0283431|none
10 wins & 6 nominations.|0256408|none
1 win & 2 nominations.|0275560|none
20 wins & 18 nominations.|0242587|none
1 nomination.|0240402|none
N/A|0245891|none
4 wins & 6 nominations.|0270259|none
5 wins.|0281680|none
N/A|0250202|none
Nominated for 1 Oscar. Another 8 wins & 10 nominations.|0277027|nom
Won 1 Oscar. Another 27 wins & 20 nominations.|0283509|won
Nominated for 2 Oscars. Another 14 wins & 56 nominations.|0145487|nom
Won 2 Oscars. Another 114 wins & 127 nominations.|0167261|won
Nominated for 1 Oscar. Another 14 wins & 53 nominations.|0121765|nom
Nominated for 3 BAFTA Film Awards. Another 11 wins & 39 nominations.|0295297|none
Nominated for 1 Oscar. Another 20 wins & 27 nominations.|0259446|nom
3 wins & 30 nominations.|0286106|none
5 wins & 21 nominations.|0295178|none
4 wins & 12 nominations.|0120912|none
Nominated for 1 Oscar. Another 5 wins & 28 nominations.|0268380|nom
Won 6 Oscars. Another 49 wins & 121 nominations.|0299658|won
Nominated for 2 Oscars. Another 11 wins & 39 nominations.|0264464|nom
