awards|imdbid|oscars
1 win & 1 nomination.|0785077|none
N/A|0455326|none
Nominated for 1 Golden Globe. Another 3 nominations.|0484740|none
Nominated for 1 Golden Globe. Another 24 wins & 51 nominations.|0808357|none
1 win & 11 nominations.|0427470|none
9 wins & 13 nominations.|0796368|none
N/A|0772178|none
Nominated for 1 Oscar. Another 28 wins & 54 nominations.|0808417|nom
2 wins & 5 nominations.|0841044|none
Nominated for 1 Oscar. Another 26 wins & 45 nominations.|0368794|nom
N/A|0859760|none
1 nomination.|0804516|none
Nominated for 2 Oscars. Another 25 wins & 64 nominations.|0443680|nom
9 wins & 10 nominations.|0923752|none
1 win & 17 nominations.|0448134|none
32 wins & 21 nominations.|1024943|none
2 nominations.|0866437|none
N/A|0397044|none
N/A|0800027|none
4 wins & 1 nomination.|0469623|none
Won 2 Oscars. Another 146 wins & 141 nominations.|0468569|won
Nominated for 2 Oscars. Another 19 wins & 61 nominations.|0371746|nom
Nominated for 1 BAFTA Film Award. Another 9 wins & 34 nominations.|0367882|none
4 wins & 11 nominations.|0448157|none
Won 1 Oscar. Another 86 wins & 85 nominations.|0910970|won
Nominated for 1 Oscar. Another 14 wins & 38 nominations.|0441773|nom
27 wins & 11 nominations.|1099212|none
3 wins & 9 nominations.|0479952|none
Nominated for 2 BAFTA Film Awards. Another 4 wins & 29 nominations.|0830515|none
1 win & 17 nominations.|0451079|none
1 win & 12 nominations.|1000774|none
Nominated for 1 Golden Globe. Another 20 wins & 17 nominations.|1205489|none
Nominated for 2 Golden Globes. Another 15 wins & 24 nominations.|0795421|none
2 wins & 4 nominations.|0822832|none
2 wins & 19 nominations.|0499448|none
Won 8 Oscars. Another 142 wins & 120 nominations.|1010048|won
1 win & 8 nominations.|0800080|none
Nominated for 2 Oscars. Another 3 wins & 20 nominations.|0493464|nom
2 wins & 6 nominations.|0425061|none
Won 3 Oscars. Another 73 wins & 146 nominations.|0421715|won
1 win & 1 nomination.|0369436|none
Nominated for 1 Oscar. Another 1 win & 28 nominations.|0397892|nom
Nominated for 1 Oscar. Another 10 wins & 39 nominations.|0942385|nom
2 wins & 5 nominations.|0960731|none
2 wins & 6 nominations.|0859163|none
1 win & 3 nominations.|0373051|none
3 wins & 8 nominations.|1059786|none
3 wins & 2 nominations.|0838283|none
2 wins & 1 nomination.|0960144|none
3 wins & 7 nominations.|1068680|none
N/A|0443649|none
2 wins & 7 nominations.|1014775|none
8 wins & 9 nominations.|0962726|none
Nominated for 1 Golden Globe. Another 2 wins & 13 nominations.|0910936|none
2 wins & 11 nominations.|0985699|none
1 win & 5 nominations.|0478087|none
2 wins & 3 nominations.|1033643|none
2 wins & 4 nominations.|0489099|none
5 wins & 23 nominations.|1060277|none
3 wins & 5 nominations.|0970416|none
5 wins & 3 nominations.|0988595|none
Nominated for 1 Oscar. Another 5 wins & 25 nominations.|0411477|nom
2 wins & 2 nominations.|0443274|none
2 wins & 8 nominations.|0416236|none
5 nominations.|0770752|none
5 wins & 6 nominations.|0814314|none
1 win & 4 nominations.|0430922|none
1 win.|1127884|none
3 wins & 9 nominations.|0949731|none
4 wins & 18 nominations.|0800039|none
1 win & 5 nominations.|0871426|none
Nominated for 2 Golden Globes. Another 5 wins & 26 nominations.|0887883|none
2 wins & 3 nominations.|1023481|none
1 win & 1 nomination.|1132626|none
1 win & 14 nominations.|0482606|none
4 nominations.|0865556|none
1 win & 8 nominations.|0420238|none
Nominated for 1 Oscar. Another 11 wins & 33 nominations.|0455824|nom
2 nominations.|0852713|none
1 win & 3 nominations.|0410377|none
1 win & 1 nomination.|0866439|none
1 nomination.|0997047|none
1 nomination.|1018785|none
13 nominations.|0811080|none
1 win & 3 nominations.|0926129|none
1 win & 1 nomination.|0462499|none
N/A|0494652|none
3 nominations.|1047494|none
1 nomination.|0956038|none
1 nomination.|0467197|none
2 nominations.|1034331|none
2 nominations.|0758774|none
1 nomination.|0947802|none
6 nominations.|1073498|none
1 win & 1 nomination.|0481536|none
N/A|0486578|none
12 wins & 16 nominations.|0416212|none
2 wins & 7 nominations.|1142798|none
1 win & 5 nominations.|0452608|none
Nominated for 3 Oscars. Another 13 wins & 47 nominations.|0824747|nom
2 nominations.|1185834|none
Won 1 Oscar. Another 24 wins & 47 nominations.|0976051|won
1 win & 4 nominations.|0839980|none
N/A|1129423|none
Nominated for 5 Oscars. Another 26 wins & 88 nominations.|0918927|nom
1 win & 2 nominations.|0817538|none
1 win & 1 nomination.|0832266|none
5 wins & 8 nominations.|0811138|none
Won 2 Oscars. Another 57 wins & 137 nominations.|1013753|won
2 nominations.|1129442|none
6 nominations.|1082868|none
9 nominations.|0981227|none
2 wins & 4 nominations.|1007028|none
2 wins & 3 nominations.|0406759|none
3 nominations.|0379865|none
2 nominations.|0790686|none
1 nomination.|0482603|none
2 nominations.|0200465|none
1 win.|0880578|none
Nominated for 1 Oscar. Another 2 wins & 4 nominations.|1034303|nom
4 wins & 4 nominations.|0430770|none
2 nominations.|0479968|none
3 nominations.|0467200|none
1 nomination.|0421073|none
Nominated for 2 Oscars. Another 56 wins & 83 nominations.|1125849|nom
N/A|0482599|none
1 win.|0426592|none
1 win & 7 nominations.|1175491|none
1 win.|1023111|none
5 nominations.|0988047|none
Won 1 Oscar. Another 30 wins & 51 nominations.|0497465|won
Nominated for 3 Oscars. Another 19 wins & 62 nominations.|0959337|nom
1 nomination.|0364970|none
N/A|0443701|none
2 nominations.|0951216|none
3 wins.|0800308|none
2 nominations.|0831887|none
1 nomination.|0465502|none
1 nomination.|1046163|none
Nominated for 5 Oscars. Another 21 wins & 72 nominations.|0870111|nom
2 wins & 5 nominations.|0846308|none
6 nominations.|0963794|none
1 nomination.|1027862|none
2 nominations.|0482572|none
1 nomination.|0814022|none
Nominated for 2 Golden Globes. Another 1 win & 1 nomination.|1046947|none
1 win & 6 nominations.|1213644|none
Won 1 Oscar. Another 7 wins & 20 nominations.|0864761|won
1 win & 2 nominations.|0486321|none
1 nomination.|1045655|none
3 wins & 2 nominations.|0995039|none
2 wins & 1 nomination.|0815241|none
N/A|0475998|none
Nominated for 1 Oscar. Another 31 wins & 59 nominations.|1084950|nom
N/A|3140704|none
1 nomination.|0970468|none
3 nominations.|1111948|none
2 wins & 3 nominations.|0765476|none
2 nominations.|1091751|none
4 nominations.|0799934|none
N/A|0483607|none
2 wins & 5 nominations.|0489281|none
3 nominations.|0844286|none
1 win & 3 nominations.|0469903|none
3 nominations.|0858479|none
7 wins & 7 nominations.|0914798|none
N/A|1135985|none
Nominated for 1 Golden Globe. Another 7 wins & 19 nominations.|1042877|none
1 win & 1 nomination.|0450314|none
2 wins & 9 nominations.|1046997|none
6 nominations.|0970411|none
Nominated for 1 Oscar. Another 22 wins & 50 nominations.|0780536|nom
2 wins.|1091617|none
N/A|0996382|none
N/A|0785007|none
1 win & 4 nominations.|1151915|none
N/A|1190617|none
N/A|0489282|none
10 nominations.|0412536|none
N/A|1031969|none
1 win & 5 nominations.|1032755|none
4 nominations.|0893382|none
1 win.|2440998|none
3 nominations.|1104733|none
N/A|0844671|none
N/A|0800240|none
1 win.|1054588|none
4 nominations.|1001562|none
1 win.|0914797|none
Nominated for 1 Oscar. Another 10 wins & 26 nominations.|1068646|nom
3 wins & 5 nominations.|0974554|none
Nominated for 1 Oscar. Another 38 wins & 54 nominations.|1045670|nom
22 wins & 25 nominations.|0449994|none
15 wins & 19 nominations.|0861689|none
Nominated for 2 Golden Globes. Another 14 wins & 27 nominations.|1068649|none
8 wins & 25 nominations.|0383028|none
Won 1 Oscar. Another 44 wins & 11 nominations.|1155592|won
2 wins & 6 nominations.|1024715|none
N/A|0455538|none
Nominated for 2 Oscars. Another 32 wins & 36 nominations.|0978759|nom
7 wins & 17 nominations.|1166100|none
1 nomination.|1012804|none
Nominated for 1 Oscar. Another 43 wins & 56 nominations.|1185616|nom
N/A|0893325|none
2 wins & 11 nominations.|0800241|none
N/A|1027729|none
2 wins & 4 nominations.|1146325|none
Nominated for 1 BAFTA Film Award. Another 72 wins & 46 nominations.|1139797|none
Won 3 Oscars. Another 77 wins & 116 nominations.|0499549|won
Nominated for 1 Oscar. Another 13 wins & 25 nominations.|1055369|nom
Nominated for 1 Oscar. Another 8 wins & 30 nominations.|0417741|nom
17 wins & 23 nominations.|1259571|none
Won 2 Oscars. Another 71 wins & 72 nominations.|1049413|won
Won 1 Golden Globe. Another 10 wins & 26 nominations.|1119646|none
Won 1 Oscar. Another 22 wins & 78 nominations.|0796366|won
Won 1 Oscar. Another 7 wins & 29 nominations.|0878804|won
2 wins.|1231580|none
Nominated for 2 Oscars. Another 10 wins & 25 nominations.|0988045|nom
3 wins & 8 nominations.|0892782|none
2 wins & 12 nominations.|1080016|none
3 wins & 13 nominations.|0458525|none
2 wins & 9 nominations.|1078912|none
4 wins & 20 nominations.|1190080|none
Nominated for 1 Golden Globe. Another 7 wins & 18 nominations.|1041829|none
4 wins & 2 nominations.|1013752|none
3 wins & 14 nominations.|1046173|none
1 win & 3 nominations.|1114740|none
3 wins.|1310670|none
3 wins & 4 nominations.|1067106|none
1 win & 5 nominations.|0808151|none
2 wins & 9 nominations.|0438488|none
Nominated for 1 Golden Globe. Another 1 win & 13 nominations.|0844471|none
Won 1 Oscar. Another 123 wins & 153 nominations.|0361748|won
1 win & 1 nomination.|0436339|none
Nominated for 4 Oscars. Another 23 wins & 99 nominations.|1136608|nom
Nominated for 3 Golden Globes. Another 8 wins & 12 nominations.|1230414|none
1 win & 4 nominations.|1078940|none
12 wins & 20 nominations.|0409459|none
Nominated for 3 Oscars. Another 12 wins & 39 nominations.|0780521|nom
1 win & 14 nominations.|1152836|none
Nominated for 1 Oscar. Another 24 wins & 46 nominations.|1135503|nom
1 win & 3 nominations.|1001508|none
1 win & 4 nominations.|1142800|none
3 wins & 4 nominations.|1142988|none
Nominated for 6 Oscars. Another 74 wins & 147 nominations.|1193138|nom
1 win & 5 nominations.|0448011|none
6 wins & 10 nominations.|1114677|none
Nominated for 1 Golden Globe. Another 7 wins & 44 nominations.|0386117|none
9 wins & 26 nominations.|1156398|none
Nominated for 1 Oscar. Another 7 wins & 41 nominations.|0327597|nom
2 wins & 5 nominations.|1197624|none
2 wins & 2 nominations.|0785006|none
7 wins & 9 nominations.|1477715|none
1 win & 8 nominations.|1155056|none
4 wins & 8 nominations.|1198138|none
1 nomination.|1075417|none
2 wins & 1 nomination.|1144884|none
1 win & 7 nominations.|1111422|none
2 wins & 3 nominations.|0758746|none
3 wins & 4 nominations.|0974661|none
1 win & 5 nominations.|0452694|none
2 wins & 4 nominations.|0889583|none
1 win & 8 nominations.|0901476|none
1 win & 2 nominations.|0492044|none
1 win.|0821640|none
2 nominations.|1201167|none
1 win & 5 nominations.|1385912|none
1 nomination.|1179891|none
5 nominations.|0976238|none
2 wins & 9 nominations.|0457400|none
4 wins & 3 nominations.|1078588|none
Won 2 Oscars. Another 111 wins & 93 nominations.|0929632|won
N/A|0834001|none
1 win & 3 nominations.|1093908|none
Nominated for 1 Oscar. Another 9 wins & 43 nominations.|0380510|nom
1 nomination.|1045778|none
1 nomination.|1139668|none
3 wins & 4 nominations.|0762125|none
6 wins & 16 nominations.|1127180|none
1 win & 6 nominations.|1148204|none
Nominated for 1 Golden Globe. Another 1 win & 3 nominations.|1135487|none
Won 2 Oscars. Another 35 wins & 29 nominations.|1263670|won
N/A|0986263|none
N/A|1186367|none
Nominated for 2 Oscars. Another 10 wins & 33 nominations.|1057500|nom
2 wins & 4 nominations.|0473705|none
9 nominations.|0472198|none
3 nominations.|0838232|none
2 nominations.|1020876|none
2 wins & 3 nominations.|0881891|none
1 nomination.|1311067|none
Nominated for 2 Golden Globes. Another 1 win & 17 nominations.|1130080|none
1 win & 7 nominations.|0844708|none
1 win & 1 nomination.|1234548|none
Nominated for 2 Golden Globes. Another 18 wins & 51 nominations.|1022603|none
N/A|1757737|none
Won 2 Oscars. Another 111 wins & 93 nominations.|0929632|won
8 nominations.|0472033|none
1 win & 3 nominations.|0821642|none
1 nomination.|1314228|none
2 nominations.|0814335|none
2 nominations.|0815245|none
Nominated for 2 Golden Globes. Another 3 wins & 13 nominations.|0765010|none
2 nominations.|1233227|none
N/A|1153706|none
1 nomination.|1220198|none
1 nomination.|0963178|none
2 nominations.|0775552|none
1 win & 4 nominations.|1197628|none
1 nomination.|1082601|none
N/A|0899106|none
1 nomination.|1016075|none
Nominated for 2 Oscars. Another 29 wins & 56 nominations.|0432283|nom
1 win & 1 nomination.|1100119|none
1 win.|1034032|none
Nominated for 4 Oscars. Another 8 wins & 56 nominations.|0875034|nom
4 nominations.|0375568|none
1 win & 4 nominations.|1229827|none
1 nomination.|1058017|none
N/A|1453978|none
1 win.|1083456|none
N/A|1095174|none
2 wins & 4 nominations.|1131734|none
1 win & 2 nominations.|0780567|none
1 win & 4 nominations.|1091722|none
N/A|0913354|none
1 nomination.|0971209|none
N/A|1092633|none
6 nominations.|0362478|none
1 win & 1 nomination.|1032815|none
4 wins & 12 nominations.|1232207|none
3 wins & 4 nominations.|1129445|none
1 win.|0450405|none
1 win & 2 nominations.|1121931|none
8 nominations.|1172233|none
Nominated for 3 Oscars. Another 34 wins & 89 nominations.|1174732|nom
N/A|1160368|none
2 nominations.|1232783|none
Won 1 Oscar. Another 11 wins & 15 nominations.|0962736|won
N/A|1225822|none
1 win & 2 nominations.|0795438|none
N/A|1188729|none
N/A|0365929|none
N/A|1300851|none
N/A|1097013|none
3 wins & 10 nominations.|1176740|none
1 nomination.|1098327|none
Nominated for 2 Oscars. Another 17 wins & 70 nominations.|1019452|nom
Nominated for 1 Golden Globe. Another 1 win & 5 nominations.|0780511|none
Nominated for 1 Oscar. Another 34 wins & 51 nominations.|1315981|nom
N/A|0891592|none
1 nomination.|0865559|none
Nominated for 1 BAFTA Film Award. Another 5 wins & 30 nominations.|0898367|none
1 win & 8 nominations.|1131729|none
N/A|0844479|none
Nominated for 2 Oscars. Another 4 wins & 20 nominations.|1054606|nom
8 nominations.|1127896|none
25 wins & 13 nominations.|1187043|none
N/A|1142433|none
Nominated for 1 Oscar. Another 5 wins & 18 nominations.|1035736|nom
2 wins.|1178663|none
N/A|0976222|none
Nominated for 1 Golden Globe. Another 8 wins & 37 nominations.|0913425|none
Won 1 BAFTA Film Award. Another 24 wins & 31 nominations.|1182345|none
2 nominations.|1151922|none
Nominated for 1 Oscar. Another 15 wins & 49 nominations.|0810784|nom
5 wins & 8 nominations.|1213585|none
2 wins & 5 nominations.|1331025|none
N/A|5167030|none
N/A|1427984|none
3 wins & 2 nominations.|1179258|none
14 wins & 18 nominations.|1127715|none
2 wins & 3 nominations.|1185431|none
17 wins & 45 nominations.|1275863|none
Nominated for 1 Oscar. Another 15 wins & 39 nominations.|1226774|nom
2 wins & 2 nominations.|1185836|none
Nominated for 2 Oscars. Another 55 wins & 34 nominations.|1149362|nom
N/A|1555183|none
3 wins & 9 nominations.|1095217|none
N/A|0918631|none
N/A|1489965|none
N/A|1144804|none
N/A|1220628|none
N/A|1440770|none
2 wins & 18 nominations.|1274295|none
1 win & 3 nominations.|1331064|none
1 win.|1334479|none
Nominated for 2 Oscars. Another 15 wins & 44 nominations.|0790712|nom
1 win & 5 nominations.|1328634|none
Won 2 Oscars. Another 57 wins & 89 nominations.|0435761|won
Won 2 Oscars. Another 30 wins & 60 nominations.|1014759|won
Nominated for 1 Oscar. Another 7 wins & 40 nominations.|1228705|nom
23 wins & 33 nominations.|1325004|none
Nominated for 2 Oscars. Another 14 wins & 50 nominations.|0926084|nom
Won 4 Oscars. Another 139 wins & 192 nominations.|1375666|won
Nominated for 1 Golden Globe. Another 3 wins & 38 nominations.|1323594|none
1 win & 12 nominations.|0892791|none
Nominated for 2 Oscars. Another 25 wins & 58 nominations.|0892769|nom
Nominated for 1 Oscar. Another 9 wins & 39 nominations.|0398286|nom
5 wins & 13 nominations.|1155076|none
Nominated for 1 Oscar. Another 10 wins & 45 nominations.|1104001|nom
Nominated for 10 Oscars. Another 37 wins & 148 nominations.|1403865|nom
2 wins & 12 nominations.|0800320|none
3 wins & 4 nominations.|1375670|none
3 wins & 4 nominations.|0970866|none
2 wins & 16 nominations.|1001526|none
Won 4 Oscars. Another 100 wins & 185 nominations.|1504320|won
8 wins & 12 nominations.|0938283|none
8 wins & 58 nominations.|1130884|none
3 wins & 14 nominations.|1386588|none
Nominated for 1 Oscar. Another 4 wins & 16 nominations.|0944835|nom
1 win & 4 nominations.|1116184|none
6 wins & 12 nominations.|0817230|none
Won 1 Oscar. Another 87 wins & 242 nominations.|0947798|won
1 win & 16 nominations.|0955308|none
Nominated for 1 Golden Globe. Another 1 win & 16 nominations.|0980970|none
3 wins & 5 nominations.|1320253|none
6 nominations.|1231583|none
2 wins & 1 nomination.|1302067|none
4 wins & 8 nominations.|1279935|none
Won 3 Oscars. Another 161 wins & 161 nominations.|1285016|won
8 wins & 8 nominations.|1261945|none
3 wins & 16 nominations.|1037705|none
Won 2 Oscars. Another 69 wins & 113 nominations.|0964517|won
Nominated for 1 Oscar. Another 9 wins & 44 nominations.|0840361|nom
9 nominations.|0473075|none
Nominated for 1 Golden Globe. Another 3 wins & 17 nominations.|1245526|none
11 nominations.|0814255|none
1 win & 2 nominations.|1536044|none
Nominated for 1 Oscar. Another 1 win & 13 nominations.|0477080|nom
1 win & 2 nominations.|0879870|none
4 wins & 7 nominations.|0989757|none
1 win & 4 nominations.|0429493|none
4 nominations.|1013743|none
1 nomination.|0427152|none
Nominated for 3 Golden Globes. Another 3 wins & 2 nominations.|1243957|none
1 win & 5 nominations.|1038919|none
5 wins & 8 nominations.|1196141|none
1 win & 1 nomination.|0963966|none
2 wins & 11 nominations.|1179056|none
4 wins & 9 nominations.|1294226|none
Won 1 Oscar. Another 3 wins & 8 nominations.|0780653|won
14 nominations.|1226229|none
2 wins & 8 nominations.|1220634|none
1 win & 5 nominations.|1391137|none
1 win & 4 nominations.|0808510|none
3 wins & 6 nominations.|1028576|none
Nominated for 1 Golden Globe. Another 9 wins & 19 nominations.|1282140|none
2 wins & 6 nominations.|1135084|none
4 wins & 23 nominations.|1219342|none
2 nominations.|1055292|none
5 nominations.|0892318|none
Nominated for 1 Golden Globe. Another 1 win & 3 nominations.|1027718|none
2 wins & 4 nominations.|1424381|none
1 win.|1433813|none
4 nominations.|1231587|none
16 wins & 61 nominations.|1250777|none
2 wins & 3 nominations.|1103153|none
3 nominations.|1477076|none
1 nomination.|1385867|none
3 nominations.|1287468|none
1 nomination.|1226273|none
3 nominations.|1320261|none
6 nominations.|1321509|none
1 nomination.|1193631|none
7 wins & 10 nominations.|1320244|none
N/A|1038686|none
Won 1 Golden Globe. Another 5 wins & 17 nominations.|1126591|none
11 nominations.|0455407|none
14 wins & 16 nominations.|1405500|none
2 nominations.|1212436|none
6 nominations.|1666186|none
3 nominations.|1440728|none
6 nominations.|0947810|none
2 nominations.|1392197|none
2 nominations.|1314655|none
Nominated for 1 Oscar. Another 4 wins & 13 nominations.|1212419|nom
2 nominations.|1185416|none
Nominated for 2 Golden Globes. Another 1 win & 4 nominations.|0758752|none
1 nomination.|0815236|none
16 wins & 56 nominations.|0446029|none
4 nominations.|1438254|none
3 nominations.|1126618|none
2 nominations.|1341188|none
N/A|1784399|none
1 win & 3 nominations.|1415283|none
2 nominations.|0889573|none
2 wins & 6 nominations.|0985694|none
1 win & 3 nominations.|0493949|none
N/A|1216492|none
2 wins.|1414382|none
1 nomination.|1213012|none
2 wins & 12 nominations.|0464154|none
N/A|0979434|none
2 nominations.|1273678|none
N/A|1179034|none
1 win & 7 nominations.|0480255|none
5 nominations.|1433108|none
1 win & 10 nominations.|1407061|none
1 nomination.|1564585|none
4 nominations.|1458175|none
Nominated for 4 Oscars. Another 29 wins & 114 nominations.|0842926|nom
3 nominations.|1305583|none
Nominated for 1 Oscar. Another 1 win & 6 nominations.|1555064|nom
3 wins & 4 nominations.|1498858|none
4 wins & 3 nominations.|1403981|none
Nominated for 6 Oscars. Another 23 wins & 136 nominations.|1542344|nom
N/A|1322312|none
1 nomination.|0492389|none
N/A|1645909|none
32 wins & 51 nominations.|1139328|none
1 nomination.|0872230|none
2 nominations.|1053424|none
14 wins & 28 nominations.|1228987|none
N/A|1244659|none
1 win & 4 nominations.|1075747|none
Nominated for 1 Oscar. Another 7 wins & 50 nominations.|1120985|nom
3 wins & 9 nominations.|0977855|none
1 nomination.|1470023|none
6 nominations.|1336617|none
3 nominations.|1020938|none
8 wins & 8 nominations.|1244754|none
N/A|1683981|none
N/A|1738294|none
Nominated for 4 Oscars. Another 63 wins & 117 nominations.|1399683|nom
15 wins & 26 nominations.|1566648|none
2 nominations.|0804497|none
1 win.|1529567|none
N/A|1032751|none
Won 1 Oscar. Another 7 wins & 26 nominations.|1645089|won
2 wins & 14 nominations.|1234654|none
5 wins & 16 nominations.|0878835|none
10 wins & 11 nominations.|1188996|none
N/A|1820647|none
5 nominations.|1017451|none
Nominated for 1 Oscar. Another 24 wins & 27 nominations.|1587707|nom
2 wins & 2 nominations.|1182350|none
2 wins & 6 nominations.|1584016|none
Nominated for 1 Oscar. Another 20 wins & 52 nominations.|1431181|nom
N/A|2023432|none
4 wins & 12 nominations.|1568150|none
1 nomination.|1462054|none
N/A|1289419|none
7 wins & 26 nominations.|1334260|none
Nominated for 1 Oscar. Another 6 wins & 29 nominations.|0775489|nom
Nominated for 1 Oscar. Another 7 wins & 39 nominations.|0935075|nom
N/A|1423995|none
4 wins & 7 nominations.|1421051|none
1 win & 3 nominations.|0817177|none
N/A|1198101|none
1 win & 14 nominations.|1291465|none
N/A|1839405|none
Nominated for 1 Oscar. Another 10 wins & 19 nominations.|1559549|nom
18 wins & 8 nominations.|1620719|none
5 wins & 11 nominations.|1573072|none
1 win & 6 nominations.|1562859|none
Nominated for 3 BAFTA Film Awards. Another 3 wins & 14 nominations.|1371155|none
3 wins & 2 nominations.|1572311|none
15 wins & 32 nominations.|1462758|none
Nominated for 1 Oscar. Another 38 wins & 54 nominations.|1313092|nom
Nominated for 1 Golden Globe. Another 1 win & 1 nomination.|1194417|none
N/A|1651930|none
N/A|2504572|none
3 wins & 11 nominations.|1438298|none
2 wins & 1 nomination.|1509276|none
N/A|1778277|none
Nominated for 3 Oscars. Another 45 wins & 87 nominations.|1201607|nom
Nominated for 3 Oscars. Another 10 wins & 40 nominations.|1399103|nom
11 wins & 21 nominations.|1324999|none
5 wins & 16 nominations.|1411697|none
2 wins & 30 nominations.|1298650|none
8 wins & 19 nominations.|1596343|none
5 wins & 31 nominations.|1229238|none
Nominated for 1 Golden Globe. Another 1 win & 16 nominations.|1216475|none
2 wins & 10 nominations.|1515091|none
5 wins & 29 nominations.|0800369|none
Nominated for 1 Oscar. Another 19 wins & 41 nominations.|1318514|nom
3 wins & 42 nominations.|0458339|none
Won 1 Oscar. Another 79 wins & 108 nominations.|1454029|won
Nominated for 2 Oscars. Another 24 wins & 65 nominations.|1478338|nom
Nominated for 1 Oscar. Another 5 wins & 44 nominations.|1302011|nom
Nominated for 1 Oscar. Another 7 wins & 42 nominations.|0448694|nom
20 wins & 35 nominations.|1270798|none
Nominated for 1 Oscar. Another 3 wins & 28 nominations.|1436562|nom
2 wins & 7 nominations.|0472181|none
2 wins & 1 nomination.|1615918|none
11 wins & 62 nominations.|1650062|none
Won 1 Oscar. Another 44 wins & 24 nominations.|1192628|won
3 wins & 10 nominations.|1499658|none
2 wins & 5 nominations.|1133985|none
2 nominations.|1411704|none
1 win & 5 nominations.|1778304|none
5 wins & 11 nominations.|1564367|none
Won 1 Oscar. Another 25 wins & 81 nominations.|1568346|won
6 wins & 3 nominations.|1284575|none
17 nominations.|0409847|none
Nominated for 1 Golden Globe. Another 1 win & 10 nominations.|0377981|none
3 wins & 7 nominations.|0990407|none
Won 1 Oscar. Another 15 wins & 41 nominations.|1204342|won
Nominated for 1 Oscar. Another 2 wins & 5 nominations.|0433035|nom
Nominated for 1 Golden Globe. Another 3 wins & 20 nominations.|1570728|none
1 win & 2 nominations.|1217613|none
1 win & 6 nominations.|1253864|none
Won 1 Oscar. Another 65 wins & 139 nominations.|1033575|won
1 win & 2 nominations.|1222817|none
Nominated for 6 Oscars. Another 16 wins & 68 nominations.|1568911|nom
2 wins & 7 nominations.|1219289|none
3 nominations.|0471042|none
Nominated for 1 Oscar. Another 22 wins & 59 nominations.|0983193|nom
2 wins & 12 nominations.|1598778|none
1 win & 8 nominations.|1389137|none
Nominated for 6 Oscars. Another 29 wins & 73 nominations.|1210166|nom
13 wins & 5 nominations.|0810913|none
Won 5 Oscars. Another 53 wins & 165 nominations.|0970179|won
2 wins & 6 nominations.|1702443|none
2 wins & 4 nominations.|1564349|none
2 wins & 6 nominations.|1411238|none
1 win & 3 nominations.|1396218|none
1 win & 9 nominations.|1402488|none
3 nominations.|1401152|none
1 win & 9 nominations.|1385826|none
3 wins & 11 nominations.|1067583|none
1 nomination.|1189340|none
Won 1 Oscar. Another 22 wins & 95 nominations.|1605783|won
5 nominations.|1632708|none
1 win & 1 nomination.|1464540|none
1 win & 8 nominations.|0945513|none
1 win & 8 nominations.|1598822|none
1 win.|1787759|none
1 win & 5 nominations.|1650043|none
3 nominations.|1068242|none
1 nomination.|1578275|none
Nominated for 1 Golden Globe. Another 3 wins & 20 nominations.|1430607|none
N/A|0480687|none
Won 5 Oscars. Another 145 wins & 180 nominations.|1655442|won
1 win & 12 nominations.|1596346|none
2 wins & 4 nominations.|1622979|none
Nominated for 1 Oscar. Another 9 wins & 34 nominations.|1124035|nom
5 wins & 26 nominations.|0993842|none
4 nominations.|0491152|none
4 nominations.|1517489|none
1 win & 6 nominations.|1262416|none
3 nominations.|1464174|none
5 nominations.|1486185|none
2 nominations.|1637688|none
1 win & 8 nominations.|1092026|none
Nominated for 1 Golden Globe. Another 5 wins & 16 nominations.|1616195|none
7 nominations.|1265990|none
3 wins & 13 nominations.|1640484|none
1 nomination.|1488555|none
N/A|1622547|none
2 wins & 5 nominations.|1657507|none
1 win & 8 nominations.|0978764|none
3 nominations.|1583420|none
1 nomination.|1268799|none
Nominated for 1 Oscar. Another 71 wins & 157 nominations.|0780504|nom
Nominated for 2 Golden Globes. Another 12 wins & 25 nominations.|1306980|none
2 wins & 2 nominations.|1630036|none
1 win & 4 nominations.|1161864|none
3 wins & 5 nominations.|1334512|none
Nominated for 2 Oscars. Another 8 wins & 24 nominations.|0477302|nom
2 nominations.|1366344|none
Won 2 Oscars. Another 22 wins & 46 nominations.|1007029|won
3 nominations.|0822847|none
1 nomination.|0472399|none
2 wins & 3 nominations.|1600195|none
1 win & 1 nomination.|1152398|none
2 wins & 25 nominations.|1449283|none
2 wins & 7 nominations.|1448755|none
2 nominations.|0479997|none
N/A|1637706|none
2 wins.|1680059|none
Nominated for 3 Oscars. Another 34 wins & 87 nominations.|1340800|nom
1 win & 1 nomination.|0881320|none
4 nominations.|1067774|none
1 win & 3 nominations.|1240982|none
1 nomination.|1093357|none
2 nominations.|1305591|none
1 nomination.|1462041|none
2 nominations.|0816462|none
4 nominations.|1509767|none
1 nomination.|1034389|none
1 nomination.|1633356|none
2 wins & 7 nominations.|1438176|none
1 win & 1 nomination.|1772240|none
4 nominations.|0905372|none
Nominated for 1 Golden Globe. Another 3 wins & 29 nominations.|1625346|none
3 nominations.|1223236|none
1 win & 4 nominations.|1547230|none
Nominated for 2 Oscars. Another 19 wins & 59 nominations.|1655420|nom
N/A|0770703|none
1 win & 2 nominations.|1563738|none
Nominated for 1 Oscar. Another 6 wins & 19 nominations.|1291584|nom
Nominated for 3 Oscars. Another 101 wins & 108 nominations.|0478304|nom
2 wins & 4 nominations.|0376136|none
N/A|1922612|none
Nominated for 1 Oscar. Another 9 wins & 14 nominations.|1229822|nom
