Bridget Jones's Diary|$71,543,427|$10,733,933|2,547|2001
Scary Movie 2|$71,308,997|$20,503,356|3,220|2001
The Score|$71,107,711|$19,018,807|2,211|2001
Shallow Hal|$70,839,203|$22,518,295|2,799|2001
Swordfish|$69,772,969|$18,145,632|2,688|2001
The Mexican|$66,845,033|$20,108,829|3,162|2001
Down to Earth|$64,186,502|$17,268,883|2,521|2001
Spy Game|$62,362,560|$21,689,125|2,770|2001
The Wedding Planner|$60,400,856|$13,510,293|2,785|2001
Behind Enemy Lines|$58,856,790|$18,736,133|2,844|2001
Ali|$58,203,105|$14,710,892|2,521|2001
The Animal|$57,743,062|$19,610,520|2,788|2001
Moulin Rouge!|$57,386,607|$167,540|2,283|2001
Rat Race|$56,618,055|$11,662,094|2,551|2001
A Knight's Tale|$56,569,702|$16,511,391|2,980|2001
Don't Say a Word|$55,001,642|$17,090,474|2,842|2001
Blow|$52,990,775|$12,443,461|2,249|2001
The Royal Tenenbaums|$52,364,010|$276,981|999|2001
Exit Wounds|$51,758,599|$18,485,586|2,830|2001
Enemy at the Gates|$51,401,758|$13,810,266|1,724|2001
K-PAX|$50,338,485|$17,215,275|2,581|2001
Serendipity|$50,294,317|$13,309,241|2,610|2001
Kate and Leopold|$47,121,859|$9,725,408|2,467|2001
Domestic Disturbance|$45,246,095|$14,033,112|2,910|2001
Zoolander|$45,172,250|$15,525,043|2,522|2001
The One|$43,905,746|$19,112,404|2,894|2001
Thirteen Ghosts|$41,867,960|$15,165,355|2,781|2001
Bandits|$41,575,141|$13,050,700|3,207|2001
Gosford Park|$41,308,615|$241,219|918|2001
Heartbreakers|$40,336,607|$11,801,323|2,751|2001
I Am Sam|$40,311,852|$41,779|1,450|2001
Hardball|$40,222,729|$9,386,342|2,314|2001
Evolution|$38,345,494|$13,408,351|2,613|2001
Not Another Teen Movie|$38,252,284|$12,615,116|2,365|2001
Jeepers Creepers|$37,904,175|$13,106,108|2,944|2001
Kiss of the Dragon|$36,845,124|$13,304,027|2,100|2001
Recess: School's Out|$36,706,141|$10,065,873|2,630|2001
In the Bedroom|$35,930,604|$93,972|1,103|2001
Black Knight|$33,426,971|$11,102,948|2,571|2001
See Spot Run|$33,357,476|$9,715,102|2,656|2001
Amelie|$33,225,499|$136,470|303|2001
Driven|$32,720,065|$12,174,504|2,905|2001
What's the Worst That Could Happen?|$32,269,834|$13,049,114|2,675|2001
Final Fantasy: The Spirits Within|$32,131,830|$11,408,853|2,649|2001
From Hell|$31,602,566|$11,014,818|2,334|2001
Monster's Ball|$31,273,922|$110,552|714|2001
How High|$31,178,740|$7,102,260|1,273|2001
Riding in Cars with Boys|$30,165,536|$10,404,652|2,770|2001
Jay and Silent Bob Strike Back|$30,085,147|$11,018,543|2,765|2001
Double Take|$29,831,583|$11,736,236|1,631|2001
Baby Boy|$28,734,552|$8,606,403|1,533|2001
The Majestic|$27,807,266|$4,904,339|2,361|2001
The Brothers|$27,457,409|$10,302,846|1,378|2001
Someone Like You|$27,343,067|$10,010,600|2,349|2001
Joe Dirt|$27,087,695|$8,016,008|2,638|2001
The Musketeer|$27,073,640|$10,312,740|2,500|2001
Crocodile Dundee in Los Angeles|$25,635,682|$7,714,362|2,166|2001
Memento|$25,544,867|$235,488|531|2001
Captain Corelli's Mandolin|$25,543,895|$7,209,345|1,612|2001
Sweet November|$25,288,103|$9,733,954|2,268|2001
15 Minutes|$24,403,552|$10,523,154|2,337|2001
Hearts in Atlantis|$24,185,781|$9,021,494|2,010|2001
Angel Eyes|$24,174,218|$9,225,575|2,407|2001
Corky Romano|$23,980,304|$9,023,173|2,094|2001
Heist|$23,510,841|$7,823,521|1,891|2001
Kingdom Come|$23,249,649|$7,562,284|1,111|2001
Joe Somebody|$22,771,646|$3,553,725|2,517|2001
Two Can Play That Game|$22,235,901|$7,720,942|1,308|2001
Joy Ride|$21,974,919|$7,347,259|2,522|2001
Valentine|$20,384,136|$10,024,648|2,310|2001
Summer Catch|$19,753,553|$7,018,593|2,335|2001
The Pledge|$19,733,089|$5,765,347|1,410|2001
Saving Silverman|$19,402,030|$7,411,852|2,467|2001
The Last Castle|$18,244,060|$7,088,213|2,270|2001
The Glass House|$18,150,259|$5,738,448|1,601|2001
Max Keeble's Big Move|$17,294,293|$5,377,958|2,045|2001
Pokemon 3: The Movie|$17,052,128|$8,240,752|2,675|2001
Rock Star|$17,008,282|$6,018,636|2,525|2001
crazy/beautiful|$16,937,988|$4,715,060|1,603|2001
Original Sin|$16,534,221|$6,402,741|2,194|2001
O|$16,025,437|$5,655,658|1,464|2001
3000 Miles to Graceland|$15,749,959|$7,160,521|2,545|2001
Life as a House|$15,667,270|$294,056|1,288|2001
Shackleton's Antarctic Adventure (IMAX)|$15,553,324|$132,548|26|2001
Iron Monkey|$14,694,904|$6,014,653|1,235|2001
Josie and the Pussycats|$14,271,015|$4,562,455|2,558|2001
Freddy Got Fingered|$14,254,993|$7,098,459|2,271|2001
Out Cold|$13,906,394|$4,531,665|2,011|2001
The Tailor of Panama|$13,729,742|$1,837,068|441|2001
Haunted Castle (IMAX)|$13,651,656|$31,858|10|2001
Osmosis Jones|$13,596,911|$5,271,248|2,305|2001
Tomcats|$13,558,739|$6,406,076|2,617|2001
American Outlaws|$13,342,790|$4,855,475|2,348|2001
Sugar & Spice|$13,305,101|$5,891,176|2,150|2001
Get Over It|$11,576,464|$4,134,977|1,742|2001
The Shipping News|$11,434,216|$1,205,174|434|2001
Antitrust|$11,328,094|$5,486,209|2,433|2001
Head Over Heels|$10,424,470|$4,804,595|2,363|2001
The Wash|$10,097,538|$2,875,067|749|2001
The Deep End|$8,823,109|$141,852|412|2001
John Carpenter's Ghosts of Mars|$8,709,640|$3,804,452|2,048|2001
The Curse of the Jade Scorpion|$7,517,191|$2,459,315|909|2001
The Man Who Wasn't There|$7,504,257|$664,404|259|2001
Bones|$7,316,658|$2,823,548|847|2001
The Forsaken|$7,288,451|$3,020,159|1,514|2001
Mulholland Drive|$7,220,243|$587,591|247|2001
Sexy Beast|$6,946,056|$170,356|194|2001
Town & Country|$6,719,973|$3,029,858|2,222|2001
The Closet (Le Placard)|$6,678,894|$311,022|145|2001
One Night at McCool's|$6,290,673|$2,520,041|1,818|2001
Ghost World|$6,217,849|$98,791|128|2001
Megiddo: The Omega Code II|$6,047,691|$1,573,454|353|2001
